,0
1999-02-12 00:00:00+00:00,1.2904794045278295e+18
1999-02-16 00:00:00+00:00,1.2904794045278295e+18
1999-02-17 00:00:00+00:00,1.2904794045278295e+18
1999-02-18 00:00:00+00:00,1.25927554482089e+18
1999-02-19 00:00:00+00:00,1.25927554482089e+18
1999-02-22 00:00:00+00:00,1.25927554482089e+18
1999-02-23 00:00:00+00:00,1.25927554482089e+18
1999-02-24 00:00:00+00:00,1.25927554482089e+18
1999-02-25 00:00:00+00:00,1.25927554482089e+18
1999-02-26 00:00:00+00:00,1.25927554482089e+18
1999-03-01 00:00:00+00:00,1.25927554482089e+18
1999-03-02 00:00:00+00:00,1.25927554482089e+18
1999-03-03 00:00:00+00:00,1.25927554482089e+18
1999-03-04 00:00:00+00:00,1.25927554482089e+18
1999-03-05 00:00:00+00:00,1.25927554482089e+18
1999-03-08 00:00:00+00:00,1.25927554482089e+18
1999-03-09 00:00:00+00:00,1.25927554482089e+18
1999-03-10 00:00:00+00:00,1.2592755449779338e+18
1999-03-11 00:00:00+00:00,1.2592755449779338e+18
1999-03-12 00:00:00+00:00,1.2592755449779338e+18
1999-03-15 00:00:00+00:00,1.2592755449779338e+18
1999-03-16 00:00:00+00:00,1.2592755449779338e+18
1999-03-17 00:00:00+00:00,1.2592755449779338e+18
1999-03-18 00:00:00+00:00,1.2592755449779338e+18
1999-03-19 00:00:00+00:00,1.2592755449779338e+18
1999-03-22 00:00:00+00:00,1.2592755449779338e+18
1999-03-23 00:00:00+00:00,1.2592755438279224e+18
1999-03-24 00:00:00+00:00,1.2592755438279224e+18
1999-03-25 00:00:00+00:00,1.2592755438279224e+18
1999-03-26 00:00:00+00:00,1.2592755438279224e+18
1999-03-29 00:00:00+00:00,1.2592755438279224e+18
1999-03-30 00:00:00+00:00,1.2592755438279224e+18
1999-03-31 00:00:00+00:00,1.2592755438279224e+18
1999-04-01 00:00:00+00:00,1.2592755438279224e+18
1999-04-05 00:00:00+00:00,1.2592755438279224e+18
1999-04-06 00:00:00+00:00,1.2592755438279224e+18
1999-04-07 00:00:00+00:00,1.2592755438279224e+18
1999-04-08 00:00:00+00:00,1.2592755438279224e+18
1999-04-09 00:00:00+00:00,1.2592755438279224e+18
1999-04-12 00:00:00+00:00,1.2592755438279224e+18
1999-04-13 00:00:00+00:00,1.2592755443017887e+18
1999-04-14 00:00:00+00:00,1.2592755443017887e+18
1999-04-15 00:00:00+00:00,1.2592755443017887e+18
1999-04-16 00:00:00+00:00,1.2592755443017887e+18
1999-04-19 00:00:00+00:00,1.2592755443017887e+18
1999-04-20 00:00:00+00:00,1.2592755443017887e+18
1999-04-21 00:00:00+00:00,1.290479405299117e+18
1999-04-22 00:00:00+00:00,1.290479405299117e+18
1999-04-23 00:00:00+00:00,1.290479405299117e+18
1999-04-26 00:00:00+00:00,1.290479405299117e+18
1999-04-27 00:00:00+00:00,1.290479405299117e+18
1999-04-28 00:00:00+00:00,1.290479405299117e+18
1999-04-29 00:00:00+00:00,1.292104755877481e+18
1999-04-30 00:00:00+00:00,1.292104755877481e+18
1999-05-03 00:00:00+00:00,1.292104755877481e+18
1999-05-04 00:00:00+00:00,1.292104755877481e+18
1999-05-05 00:00:00+00:00,1.2921047563718282e+18
1999-05-06 00:00:00+00:00,1.2921047563718282e+18
1999-05-07 00:00:00+00:00,1.2921047563718282e+18
1999-05-10 00:00:00+00:00,1.2921047563718282e+18
1999-05-11 00:00:00+00:00,1.2921047563718282e+18
1999-05-12 00:00:00+00:00,1.2921047563718282e+18
1999-05-13 00:00:00+00:00,1.2921047568297603e+18
1999-05-14 00:00:00+00:00,1.2921047568297603e+18
1999-05-17 00:00:00+00:00,1.2921047568297603e+18
1999-05-18 00:00:00+00:00,1.2687018621346214e+18
1999-05-19 00:00:00+00:00,1.2687018621346214e+18
1999-05-20 00:00:00+00:00,1.2687018621346214e+18
1999-05-21 00:00:00+00:00,1.2687018621346214e+18
1999-05-24 00:00:00+00:00,1.2687018621346214e+18
1999-05-25 00:00:00+00:00,1.2687018621346214e+18
1999-05-26 00:00:00+00:00,1.2687018621346214e+18
1999-05-27 00:00:00+00:00,1.2687018621346214e+18
1999-05-28 00:00:00+00:00,1.2687018621346214e+18
1999-06-01 00:00:00+00:00,1.2687018621346214e+18
1999-06-02 00:00:00+00:00,1.2687018625744535e+18
1999-06-03 00:00:00+00:00,1.2714387394255834e+18
1999-06-04 00:00:00+00:00,1.2714387394255834e+18
1999-06-07 00:00:00+00:00,1.2714387394255834e+18
1999-06-08 00:00:00+00:00,1.2714387394255834e+18
1999-06-09 00:00:00+00:00,1.2714387394255834e+18
1999-06-10 00:00:00+00:00,1.2714387394255834e+18
1999-06-11 00:00:00+00:00,1.2714387394255834e+18
1999-06-14 00:00:00+00:00,1.2714387394255834e+18
1999-06-15 00:00:00+00:00,1.2714387394255834e+18
1999-06-16 00:00:00+00:00,1.2714387394255834e+18
1999-06-17 00:00:00+00:00,1.2714387394255834e+18
1999-06-18 00:00:00+00:00,1.2558368087562778e+18
1999-06-21 00:00:00+00:00,1.2558368087562778e+18
1999-06-22 00:00:00+00:00,1.2558368087562778e+18
1999-06-23 00:00:00+00:00,1.2558368087562778e+18
1999-06-24 00:00:00+00:00,1.2558368087562778e+18
1999-06-25 00:00:00+00:00,1.2558368087562778e+18
1999-06-28 00:00:00+00:00,1.2558368087562778e+18
1999-06-29 00:00:00+00:00,1.2558368087562778e+18
1999-06-30 00:00:00+00:00,1.2558368087562778e+18
1999-07-01 00:00:00+00:00,1.2558368087562778e+18
1999-07-02 00:00:00+00:00,1.2558368087562778e+18
1999-07-06 00:00:00+00:00,1.2558368087562778e+18
1999-07-07 00:00:00+00:00,1.2558368087562778e+18
1999-07-08 00:00:00+00:00,1.2558368087562778e+18
1999-07-09 00:00:00+00:00,1.2558368087562778e+18
1999-07-12 00:00:00+00:00,1.2558368087562778e+18
1999-07-13 00:00:00+00:00,1.2558368087562778e+18
1999-07-14 00:00:00+00:00,1.2558368087562778e+18
1999-07-15 00:00:00+00:00,1.2558368087562778e+18
1999-07-16 00:00:00+00:00,1.2558368087562778e+18
1999-07-19 00:00:00+00:00,1.2558368087562778e+18
1999-07-20 00:00:00+00:00,1.2558368087562778e+18
1999-07-21 00:00:00+00:00,1.2792397039388447e+18
1999-07-22 00:00:00+00:00,1.2792397039388447e+18
1999-07-23 00:00:00+00:00,1.2792397039388447e+18
1999-07-26 00:00:00+00:00,1.2792397039388447e+18
1999-07-27 00:00:00+00:00,1.2792397039388447e+18
1999-07-28 00:00:00+00:00,1.2792397039388447e+18
1999-07-29 00:00:00+00:00,1.2792397039388447e+18
1999-07-30 00:00:00+00:00,1.2792397039388447e+18
1999-08-02 00:00:00+00:00,1.2792397039388447e+18
1999-08-03 00:00:00+00:00,1.2792397039388447e+18
1999-08-04 00:00:00+00:00,1.282325950608582e+18
1999-08-05 00:00:00+00:00,1.282325950608582e+18
1999-08-06 00:00:00+00:00,1.282325950608582e+18
1999-08-09 00:00:00+00:00,1.282325950608582e+18
1999-08-10 00:00:00+00:00,1.282325950608582e+18
1999-08-11 00:00:00+00:00,1.282325950608582e+18
1999-08-12 00:00:00+00:00,1.282325950608582e+18
1999-08-13 00:00:00+00:00,1.282325950608582e+18
1999-08-16 00:00:00+00:00,1.282325950608582e+18
1999-08-17 00:00:00+00:00,1.282325950608582e+18
1999-08-18 00:00:00+00:00,1.2839462637828152e+18
1999-08-19 00:00:00+00:00,1.2839462642855186e+18
1999-08-20 00:00:00+00:00,1.276145298065322e+18
1999-08-23 00:00:00+00:00,1.276145298065322e+18
1999-08-24 00:00:00+00:00,1.276145298065322e+18
1999-08-25 00:00:00+00:00,1.276145298065322e+18
1999-08-26 00:00:00+00:00,1.276145298065322e+18
1999-08-27 00:00:00+00:00,1.276145298065322e+18
1999-08-30 00:00:00+00:00,1.2788235870421778e+18
1999-08-31 00:00:00+00:00,1.2788235870421778e+18
1999-09-01 00:00:00+00:00,1.2788235870421778e+18
1999-09-02 00:00:00+00:00,1.2788235870421778e+18
1999-09-03 00:00:00+00:00,1.2788235870421778e+18
1999-09-07 00:00:00+00:00,1.2788235870421778e+18
1999-09-08 00:00:00+00:00,1.2788235870421778e+18
1999-09-09 00:00:00+00:00,1.2788235870421778e+18
1999-09-10 00:00:00+00:00,1.2866245519179914e+18
1999-09-13 00:00:00+00:00,1.2866245519179914e+18
1999-09-14 00:00:00+00:00,1.2866245519179914e+18
1999-09-15 00:00:00+00:00,1.2866245519179914e+18
1999-09-16 00:00:00+00:00,1.2866245519179914e+18
1999-09-17 00:00:00+00:00,1.2866245519179914e+18
1999-09-20 00:00:00+00:00,1.2866245519179914e+18
1999-09-21 00:00:00+00:00,1.2866245519179914e+18
1999-09-22 00:00:00+00:00,1.294425517964524e+18
1999-09-23 00:00:00+00:00,1.294425517964524e+18
1999-09-24 00:00:00+00:00,1.294425517964524e+18
1999-09-27 00:00:00+00:00,1.294425517964524e+18
1999-09-28 00:00:00+00:00,1.294425517964524e+18
1999-09-29 00:00:00+00:00,1.294425517964524e+18
1999-09-30 00:00:00+00:00,1.294425517964524e+18
1999-10-01 00:00:00+00:00,1.294425517964524e+18
1999-10-04 00:00:00+00:00,1.294425517964524e+18
1999-10-05 00:00:00+00:00,1.294425517964524e+18
1999-10-06 00:00:00+00:00,1.294425517964524e+18
1999-10-07 00:00:00+00:00,1.294425517964524e+18
1999-10-08 00:00:00+00:00,1.294425517964524e+18
1999-10-11 00:00:00+00:00,1.294425517964524e+18
1999-10-12 00:00:00+00:00,1.294425517964524e+18
1999-10-13 00:00:00+00:00,1.294425517964524e+18
1999-10-14 00:00:00+00:00,1.294425517964524e+18
1999-10-15 00:00:00+00:00,1.294425517964524e+18
1999-10-18 00:00:00+00:00,1.294425517964524e+18
1999-10-19 00:00:00+00:00,1.294425517964524e+18
1999-10-20 00:00:00+00:00,1.294425517964524e+18
1999-10-21 00:00:00+00:00,1.2788235885258578e+18
1999-10-22 00:00:00+00:00,1.2632216585662536e+18
1999-10-25 00:00:00+00:00,1.2632216585662536e+18
1999-10-26 00:00:00+00:00,1.2632216585662536e+18
1999-10-27 00:00:00+00:00,1.2632216585662536e+18
1999-10-28 00:00:00+00:00,1.2632216585662536e+18
1999-10-29 00:00:00+00:00,1.2632216585662536e+18
1999-11-01 00:00:00+00:00,1.2632216585662536e+18
1999-11-02 00:00:00+00:00,1.2788235885258578e+18
1999-11-03 00:00:00+00:00,1.2788235885258578e+18
1999-11-04 00:00:00+00:00,1.2788235885258578e+18
1999-11-05 00:00:00+00:00,1.2788235885258578e+18
1999-11-08 00:00:00+00:00,1.2788235885258578e+18
1999-11-09 00:00:00+00:00,1.2788235885258578e+18
1999-11-10 00:00:00+00:00,1.2788235885258578e+18
1999-11-11 00:00:00+00:00,1.2788235885258578e+18
1999-11-12 00:00:00+00:00,1.2788235885258578e+18
1999-11-15 00:00:00+00:00,1.2788235885258578e+18
1999-11-16 00:00:00+00:00,1.2788235885258578e+18
1999-11-17 00:00:00+00:00,1.2788235885258578e+18
1999-11-18 00:00:00+00:00,1.2788235885258578e+18
1999-11-19 00:00:00+00:00,1.2788235885258578e+18
1999-11-22 00:00:00+00:00,1.3178284138924918e+18
1999-11-23 00:00:00+00:00,1.3178284138924918e+18
1999-11-24 00:00:00+00:00,1.3178284138924918e+18
1999-11-26 00:00:00+00:00,1.3178284138924918e+18
1999-11-29 00:00:00+00:00,1.3178284138924918e+18
1999-11-30 00:00:00+00:00,1.3178284138924918e+18
1999-12-01 00:00:00+00:00,1.3178284138924918e+18
1999-12-02 00:00:00+00:00,1.3178284138924918e+18
1999-12-03 00:00:00+00:00,1.3178284138924918e+18
1999-12-06 00:00:00+00:00,1.3178284138924918e+18
1999-12-07 00:00:00+00:00,1.3178284138924918e+18
1999-12-08 00:00:00+00:00,1.3178284138924918e+18
1999-12-09 00:00:00+00:00,1.3178284138924918e+18
1999-12-10 00:00:00+00:00,1.3178284138924918e+18
1999-12-13 00:00:00+00:00,1.3178284138924918e+18
1999-12-14 00:00:00+00:00,1.3178284138924918e+18
1999-12-15 00:00:00+00:00,1.3178284138924918e+18
1999-12-16 00:00:00+00:00,1.3178284138924918e+18
1999-12-17 00:00:00+00:00,1.3178284138924918e+18
1999-12-20 00:00:00+00:00,1.3178284138924918e+18
1999-12-21 00:00:00+00:00,1.3178284138924918e+18
1999-12-22 00:00:00+00:00,1.310027450152336e+18
1999-12-23 00:00:00+00:00,1.310027450152336e+18
